Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.154, , 0.415, 0.581, 0.265, 0.150, , , , , 0.148, 0.125, 0.022, 31.355, 33.215
0.166, , 0.563, 0.871, 0.402, 0.199, , , , , 0.229, 0.166, 0.022, 109.030, 111.648
0.142, , 0.490, 0.823, 0.442, 0.224, , , , , 0.234, 0.179, 0.020, 225.718, 228.272
0.237, 0.521, 0.399, 0.695, 0.478, 0.164, , , , , 0.173, 0.152, 0.022, 1.858, 4.699
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.148, , 0.408, 0.586, 0.268, 0.152, , , , , 0.148, 0.144, 0.023, 31.824, 33.701
0.185, , 0.737, 0.875, 0.454, 0.205, , , , , 0.231, 0.165, 0.023, 123.308, 126.183
0.145, , 0.591, 0.914, 0.419, 0.212, , , , , 0.231, 0.178, 0.022, 250.267, 252.979
0.239, 0.540, 0.387, 0.652, 0.397, 0.161, , , , , 0.167, 0.154, 0.022, 2.311, 5.030
