Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
0.623, 0.012, 0.142, 0.293, 2.090, 0.009, 0.036, 2.022, 0.009, 0.036, 0.819, 0.008, 0.033, 1.461, 0.013, 0.052, 2.441, 0.018, 0.082, 1.766, 0.048, 7.946, 0.020
0.586, 0.017, 0.143, 0.277, 2.316, 0.007, 0.029, 2.011, 0.009, 0.036, 0.984, 0.010, 0.033, 1.134, 0.009, 0.042, 1.145, 0.006, 0.030, 1.012, 0.031, 4.149, 0.012
0.676, 0.012, 0.142, 0.279, 2.059, 0.007, 0.030, 2.025, 0.009, 0.035, 0.937, 0.009, 0.034, 1.144, 0.009, 0.036, 1.013, 0.007, 0.036, 1.057, 0.038, 4.187, 0.011
0.556, 0.015, 0.230, 0.274, 2.186, 0.007, 0.029, 2.166, 0.008, 0.035, 0.836, 0.010, 0.034, 1.062, 0.009, 0.044, 1.118, 0.007, 0.033, 1.127, 0.031, 4.163, 0.011
0.594, 0.012, 0.141, 0.284, 2.102, 0.007, 0.029, 2.163, 0.008, 0.036, 0.884, 0.008, 0.032, 1.098, 0.009, 0.036, 1.152, 0.008, 0.040, 1.049, 0.031, 4.196, 0.011
0.548, 0.016, 0.143, 0.277, 2.462, 0.009, 0.035, 2.068, 0.009, 0.036, 0.950, 0.008, 0.032, 1.103, 0.009, 0.038, 1.192, 0.007, 0.035, 1.189, 0.031, 4.283, 0.013
0.663, 0.012, 0.142, 0.276, 2.132, 0.007, 0.030, 2.106, 0.009, 0.036, 0.806, 0.011, 0.043, 1.820, 0.016, 0.061, 1.798, 0.013, 0.059, 1.862, 0.046, 6.989, 0.020
1.035, 0.026, 0.229, 0.476, 4.255, 0.014, 0.051, 2.200, 0.008, 0.035, 1.080, 0.009, 0.034, 1.173, 0.009, 0.036, 1.221, 0.007, 0.032, 1.446, 0.031, 4.199, 0.013
0.656, 0.012, 0.142, 0.274, 2.266, 0.007, 0.029, 2.195, 0.009, 0.036, 0.951, 0.009, 0.037, 1.050, 0.008, 0.033, 1.285, 0.008, 0.033, 1.082, 0.030, 4.363, 0.012
1.377, 0.040, 0.327, 0.739, 6.198, 0.020, 0.076, 2.246, 0.009, 0.037, 0.958, 0.010, 0.034, 1.657, 0.016, 0.065, 1.947, 0.013, 0.058, 1.844, 0.045, 7.004, 0.019
2.341, 0.046, 0.590, 1.319, 10.862, 0.038, 0.143, 2.243, 0.009, 0.038, 0.826, 0.008, 0.031, 0.971, 0.009, 0.036, 1.252, 0.007, 0.032, 1.252, 0.030, 4.399, 0.013
0.587, 0.011, 0.141, 0.277, 2.186, 0.009, 0.036, 2.025, 0.009, 0.037, 0.893, 0.008, 0.031, 1.102, 0.009, 0.036, 1.123, 0.008, 0.035, 1.182, 0.031, 4.143, 0.012
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/12a.sql...
0.825, 0.017, 0.218, 0.467, 3.333, 0.013, 0.050, 2.066, 0.008, 0.036, 0.860, 0.008, 0.033, 0.735, 0.014, 0.057, 0.797, 0.036, 2.175, 0.012
0.518, 0.012, 0.154, 0.310, 2.056, 0.008, 0.032, 2.128, 0.008, 0.036, 0.992, 0.009, 0.037, 0.905, 0.027, 0.056, 1.039, 0.029, 2.045, 0.011
0.525, 0.013, 0.162, 0.331, 2.241, 0.009, 0.034, 2.209, 0.031, 0.044, 0.780, 0.008, 0.033, 0.778, 0.014, 0.055, 0.886, 0.029, 2.084, 0.012
